reviewId,app_name,content,sentiment_polarity,sentiment
01e23c15-44bf-46b7-b280-40e880d9d49b,Shopee,app shopee razoável    apesar fácil utilizar    apresentar bugs      sugestão palavra errar Campo pesquisa acarreto busca errar    sugestão produto coisa interesse    dificuldade acesso jogo travamento durante algum jogada    falho carregar certos anexo avaliação produto      problema contornar    ocorrer frequência,positive,sadness
df40ba7c-075d-48dc-b798-21466dfb41d6,Shopee,app otimizar    fácil visualizar produto    pedido rastreio    interface intuitivo    existir incômor    achar principal má recomendação produto    aparecer produto dever aparecer pesquisar     brinquedo sexual     incomodo atrapalha completo utilização app    app loja trabalho,positive,sadness
59490b23-b17b-4bba-855b-b5053dadc0db,Shopee,app    prático fácil entender    vendedor mandar produto    apesar semelhante anúncio    diferença    celular fraco      app fechar sozinho trar    chegar abrir    poder levar otimizar dispositivo fraco    app ótimo    excelente produto simples,positive,sadness
48fd8168-1e42-4475-9a99-935c2fd48769,Shopee,aplicativo    chatear fato pesquisar produto colocar cep aparecer frete grátis baratinho acima         frete gratuito    comprar     produto valor alto coloquei carrinho fechei pedir aparecer valor alto frete    dar vontade desistir compra    precisar acabar comprar    acho dever informar correto frete pesquisa    colocar cep,positive,sadness
f4e1468b-6d97-4f1a-927d-1afee2bfbe75,Shopee,app    ter dificuldade pagamento cartão crédito compra pix    altero pagamento chegar colocar código cartão trar sair      deixeir muito compra contar    puderem concertar bug sério bom consumidor,negative,disgust
2ce2db50-eec3-4cf5-afd6-b153ca01cf0f,Shopee,app    ficar travar hora concluir compra    precisar sair entrar novamente    precisario bom plataforma      passar haver melhora    finalização compra super rápir adorar opção parcelar  ,positive,happiness
404d8ede-bf3e-4652-a410-ec1ad12e40df,Shopee,gostar app    acreditar decorrência atualização    app parar travar durante inicialização      app muito agilidade    produto    consigo encontrar excelente preço qualidade,positive,happiness
0d7c4353-a8f6-467c-abd7-c65b26fd4976,Shopee,adorar    pensar promoção frete diferencial app    pessoa colabor sentido avaliar produto foto vídeo    comentário    facilitar identificar qualidade hora escolher comprar    fiz várias compra      fiquei satisfazer,positive,happiness
5410fc9e-d51f-4f6f-9fdc-01b93eed8750,Shopee,app mercadoria realmente qualidade preço justo chegar prazo    peguei tentar rastrear pedir fiz     site correios aceitar pq rastreamento padrão marcar pra chegar data mudar radicalmente    ter alguém saber rastreamento    gostar comprar muito coisa qualidade,positive,sadness
31458c8f-8f11-496f-b72e-dacc9470a52f,Shopee,problema inicial conseguir enviar mensagem chat    tirar dúvida produto    vendedor    abri ajudar    fiz passo orientação atendimento    desistalar reinstalar app funcionar    funcionar dia    dia seguinte    voltar problema    terça     reclamar produto recebir com si chat    hoje reinstalei     app reconhecer Código Whatsapp    sms,negative,anger
980c8f5e-71ec-4a51-8f37-00592e7905d1,Shopee,pra eu bom shopping onliner surgir    respeitar cliente consumidor aspecto    entregar excelente    benefício    infinidade loja produto    site super fácil entender    complicação    trar funcionar,positive,happiness
fbd2a876-9f0f-4abe-82f9-f4b17fd8971e,Shopee,serviço varejo    frete ótimo funcionar    haver produto bom recomendo compr início setembro    data aniversário shopee muito promoção    bom aplicativo problema comprar ate,positive,happiness
